# path	reviewed_at	reviewed_commit	reviewed_blob	reviewed_loc	review_ref	review_note
apps/desktop/e2e/board-tooling.spec.ts	2026-07-12T01:53:24Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	d1e68aeafb704e662dd8549f5a91e67904978fab	878	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as test evidence; split only with an owning production boundary or shard need.
apps/desktop/e2e/notes.spec.ts	2026-07-12T01:53:24Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	53324e30a1a0ea172a7f8888a23d1e9cf884890c	1025	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as test evidence; split only with an owning production boundary or shard need.
apps/desktop/e2e/panels.spec.ts	2026-07-12T01:53:24Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	7f60724eee52a5202361fec008febfb00a7a239d	826	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as test evidence; split only with an owning production boundary or shard need.
apps/desktop/e2e/undo.spec.ts	2026-07-12T01:53:24Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	b59bde154fcd0ac0f258030f5685d2f8c51de53a	674	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as test evidence; split only with an owning production boundary or shard need.
apps/desktop/src/main/index.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	293f486878b156bb11b2dc37f77906e95484b876	1256	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
apps/desktop/src/main/snapshot.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	541d224276bd76aec4fd443f29763e27d6038b72	791	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
apps/desktop/src/renderer/canvas/board-tooling.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	73062bbcc2b317e6d5c39f43cea94492fbe8b9ec	661	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
apps/desktop/src/renderer/canvas/charms-ui.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	73e232edc75f030c22cb913f488fdbe986b68b32	1219	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
apps/desktop/src/renderer/canvas/gestures-ui.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	681be3f206fd4435f64363b25dbd9406dd6892dd	548	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
apps/desktop/src/renderer/canvas/host.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	4c0d774b8891e346c6b6d9d351cca38bc997b657	2172	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
apps/desktop/src/renderer/canvas/import-surfaces.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	94256b1f9e33040fc05716d6e19500b6a79369e7	565	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
apps/desktop/src/renderer/chrome/Dock.svelte	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	2e933e270ee46548e6c4545cf4ff5788c1abe6f3	833	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
